date,title,summary,url,source,text_for_nlp,is_tesla_related,is_musk_related
2023-01-30 00:00:00,Tesla driver charged with attempted murder after driving family off California cliff,,https://www.nbcnews.com/video/tesla-driver-charged-with-attempted-murder-after-driving-family-off-california-cliff-162162245877,NBC,Tesla driver charged with attempted murder after driving family off California cliff,1,0
2023-01-30 00:00:00,Ford will cut prices for EV Mach-E following Tesla price slash,,https://www.nbcnews.com/now/video/ford-will-cut-prices-for-ev-mach-e-following-tesla-price-slash-162124869625,NBC,Ford will cut prices for EV Mach-E following Tesla price slash,1,0
2023-01-30 00:00:00,"Tesla car battery 'spontaneously' catches fire on California freeway, requiring 6,000 gallons of water to put it out","A Tesla car battery ""spontaneously"" burst into flames on a California freeway Saturday, and firefighters needed 6,000 gallons of water to put it out.",https://www.nbcnews.com/business/business-news/tesla-car-battery-fire-needed-6000-gallons-water-to-extinguish-rcna68153,NBC,"Tesla car battery 'spontaneously' catches fire on California freeway, requiring 6,000 gallons of water to put it out A Tesla car battery ""spontaneously"" burst into flames on a California freeway Saturday, and firefighters needed 6,000 gallons of water to put it out.",1,0
2023-01-30 00:00:00,Tesla driver is charged with attempted murder after allegedly plunging his family off a California cliff on purpose,"Northern California prosecutors on Monday filed attempted murder charges against a motorist who was behind the wheel of a Tesla that went over a cliff, nearly killing himself, his wife and two children.",https://www.nbcnews.com/news/us-news/tesla-driver-charged-attempted-murder-allegedly-plunging-family-califo-rcna68173,NBC,"Tesla driver is charged with attempted murder after allegedly plunging his family off a California cliff on purpose Northern California prosecutors on Monday filed attempted murder charges against a motorist who was behind the wheel of a Tesla that went over a cliff, nearly killing himself, his wife and two children.",1,0
2023-01-30 16:50:57,Ford Follows Tesla in Cutting Electric Vehicle Prices,"The automaker reduced the price of the Mustang Mach-E by up to $5,900 after Tesla slashed prices of its cars by as much as 20 percent.",https://www.nytimes.com/2023/01/30/business/ford-mustang-electric-prices.html,NYT,"Ford Follows Tesla in Cutting Electric Vehicle Prices The automaker reduced the price of the Mustang Mach-E by up to $5,900 after Tesla slashed prices of its cars by as much as 20 percent.",1,0
2023-02-03 00:00:00,Jury finds Elon Musk did not defraud Tesla investors with infamous 'funding secured' claim,"A jury found Elon Musk not liable for costing investors millions of dollars when he issued a series of tweets saying he had ""secured"" funding to take the electric car maker private.",https://www.nbcnews.com/business/business-news/elon-musk-funding-secured-trial-verdict-rcna68634,NBC,"Jury finds Elon Musk did not defraud Tesla investors with infamous 'funding secured' claim A jury found Elon Musk not liable for costing investors millions of dollars when he issued a series of tweets saying he had ""secured"" funding to take the electric car maker private.",1,1
2023-02-03 20:45:43,Jury Rules for Elon Musk and Tesla in Investor Lawsuit Over Tweets,The case centered on whether investors lost money because they believed Mr. Musk’s social media posts about taking Tesla private in 2018.,https://www.nytimes.com/2023/02/03/business/elon-musk-tesla-investor-trial.html,NYT,Jury Rules for Elon Musk and Tesla in Investor Lawsuit Over Tweets The case centered on whether investors lost money because they believed Mr. Musk’s social media posts about taking Tesla private in 2018.,1,1
2023-02-04 04:31:41,"Advisory Firm Sues Elon Musk’s Twitter, Saying It Hasn’t Been Paid","Innisfree M&A says Twitter, which Elon Musk bought last year, has not paid it $1.9 million for services it rendered for the deal.",https://www.nytimes.com/2023/02/03/technology/twitter-elon-musk-adviser-lawsuit.html,NYT,"Advisory Firm Sues Elon Musk’s Twitter, Saying It Hasn’t Been Paid Innisfree M&A says Twitter, which Elon Musk bought last year, has not paid it $1.9 million for services it rendered for the deal.",0,1
2023-02-06 10:00:21,Tesla’s Pickup Truck Is Coming Soon. Maybe.,"Already two years behind schedule, the Cybertruck has experts wondering how the company will manufacture its unusual stainless steel “exoskeleton.”",https://www.nytimes.com/2023/02/06/business/teslas-cybertruck-pickup-stainless-steel.html,NYT,"Tesla’s Pickup Truck Is Coming Soon. Maybe. Already two years behind schedule, the Cybertruck has experts wondering how the company will manufacture its unusual stainless steel “exoskeleton.”",1,0
2023-02-09 00:00:00,Mystery surrounding a fatal Tesla crash with no one behind the wheel is solved,"Investigators from the National Transportation Safety Board apparently have solved the mystery of why no one was found behind the steering wheel of a Tesla that crashed in a Texas two years ago, killing two men.",https://www.nbcnews.com/news/us-news/mystery-surrounding-fatal-tesla-crash-no-one-wheel-solved-rcna69865,NBC,"Mystery surrounding a fatal Tesla crash with no one behind the wheel is solved Investigators from the National Transportation Safety Board apparently have solved the mystery of why no one was found behind the steering wheel of a Tesla that crashed in a Texas two years ago, killing two men.",1,0
2023-02-14 10:00:14,Twitter’s Glitches Are Taking a Toll on Chinese Activists,"As the Elon Musk-owned social media service encounters interruptions and bugs, Chinese dissidents and activists said they feared they were being muzzled.",https://www.nytimes.com/2023/02/14/technology/twitter-china-elon-musk.html,NYT,"Twitter’s Glitches Are Taking a Toll on Chinese Activists As the Elon Musk-owned social media service encounters interruptions and bugs, Chinese dissidents and activists said they feared they were being muzzled.",0,1
2023-02-14 16:00:00,Tesla Workers in Buffalo Begin Union Drive,"If successful, the workers who help develop Tesla’s Autopilot driver-assistance system will be the first group at the company to organize.",https://www.nytimes.com/2023/02/14/business/tesla-buffalo-union-autopilot.html,NYT,"Tesla Workers in Buffalo Begin Union Drive If successful, the workers who help develop Tesla’s Autopilot driver-assistance system will be the first group at the company to organize.",1,0
2023-02-15 00:00:00,"Tesla will open part of electric vehicle charging network to other drivers, White House says","Tesla will open a portion of its electric vehicle charging stations to drivers of other vehicles by the end of next year, the White House said.",https://www.nbcnews.com/politics/white-house/tesla-will-open-part-electric-vehicle-charging-network-drivers-white-h-rcna70744,NBC,"Tesla will open part of electric vehicle charging network to other drivers, White House says Tesla will open a portion of its electric vehicle charging stations to drivers of other vehicles by the end of next year, the White House said.",1,0
2023-02-15 10:00:35,Carmakers Are Pushing Autonomous Tech. This Engineer Wants Limits.,"Missy Cummings, who spent more than a year at the federal auto safety agency, said that drivers were putting too much trust in systems like Tesla’s Autopilot and that regulators needed to restrict their use.",https://www.nytimes.com/2023/02/15/business/missy-cummings-tesla-autopilot.html,NYT,"Carmakers Are Pushing Autonomous Tech. This Engineer Wants Limits. Missy Cummings, who spent more than a year at the federal auto safety agency, said that drivers were putting too much trust in systems like Tesla’s Autopilot and that regulators needed to restrict their use.",1,0
2023-02-15 14:19:49,Tesla Will Open Some Chargers to All Electric Vehicles,An agreement with the White House to allow electric cars made by other automakers is part of a broad effort to improve charging and increase sales of battery-powered vehicles.,https://www.nytimes.com/2023/02/15/business/energy-environment/tesla-electric-vehicle-chargers-biden.html,NYT,Tesla Will Open Some Chargers to All Electric Vehicles An agreement with the White House to allow electric cars made by other automakers is part of a broad effort to improve charging and increase sales of battery-powered vehicles.,1,0
2023-02-16 00:00:00,Tesla accused of firing workers amid push to unionize,,https://www.nbcnews.com/now/video/tesla-fires-workers-amid-push-to-unionize-163507269867,NBC,Tesla accused of firing workers amid push to unionize,1,0
2023-02-16 00:00:00,"Tesla recalling nearly 363,000 vehicles over 'full self-driving' software that could lead to crashes","Tesla is recalling 362,758 vehicles because a version of its ""full self-driving"" software may increase the risk of crashes, according to the National Highway Traffic Safety Administration in response to a notice Tesla sent the agency on Wednesday.",https://www.nbcnews.com/business/consumer/tesla-recalls-model-s-model-x-model-3-model-y-fsd-software-rcna71048,NBC,"Tesla recalling nearly 363,000 vehicles over 'full self-driving' software that could lead to crashes Tesla is recalling 362,758 vehicles because a version of its ""full self-driving"" software may increase the risk of crashes, according to the National Highway Traffic Safety Administration in response to a notice Tesla sent the agency on Wednesday.",1,0
2023-02-16 00:00:00,Complaint accuses Tesla of firing more than 30 workers after union effort was announced,"A group of Tesla workers in Buffalo, New York, have filed a complaint with the National Labor Relations Board accusing the electric carmaker of firing at least 30 workers in response to their union organizing efforts.",https://www.nbcnews.com/business/business-news/tesla-fired-workers-after-union-effort-was-announced-complaint-alleges-rcna71008,NBC,"Complaint accuses Tesla of firing more than 30 workers after union effort was announced A group of Tesla workers in Buffalo, New York, have filed a complaint with the National Labor Relations Board accusing the electric carmaker of firing at least 30 workers in response to their union organizing efforts.",1,0
