title,url,date_text,summary,date
Elon Musk says 'so be it' to consequences of his tweeting,https://www.nbcnews.com/tech/tech-news/musks-says-consequences-tweeting-rcna84758,"May 16, 2023","Tech billionaire Elon Musk defended his promotion of conspiracy theories, called the work-from-home trend morally wrong and criticized the direction of tech startup OpenAI in a wide-ranging and at times combative interview Tuesday with CNBC.",2023-05-16
Twitter CEO Elon Musk addresses conspiracy theories in CNBC interview,https://www.nbcnews.com/now/video/twitter-ceo-elon-musk-addresses-conspiracy-theories-in-cnbc-interview-174628933672,"May 17, 2023",,2023-05-17
"Man intentionally drove Tesla off cliff with family inside, wife says",https://www.nbcnews.com/video/man-intentionally-drove-tesla-off-cliff-with-family-inside-wife-says-174839877835,"May 18, 2023",,2023-05-18
"Wife of radiologist who drove Tesla off Calif. cliff with family inside said he did it 'on purpose,' unsealed docs reveal",https://www.nbcnews.com/news/us-news/wife-radiologist-drove-tesla-ca-cliff-family-said-purpose-unsealed-doc-rcna85033,"May 18, 2023","The wife of the California radiologist accused of intentionally driving his Tesla off a 330-foot cliff with her and their two young children inside early this year told authorities he plunged off the precipice “on purpose,” newly unsealed documents reveal.",2023-05-18
"Morning Rundown: G-7 summit, New Mexico mass shooting bodycam, Tesla cliff crash",https://www.nbcnews.com/news/morning-rundown-may-19-rcna85210,"May 19, 2023",Get everything you need to know to start your day. Sign up to get the Morning Rundown newsletter to your email inbox.,2023-05-19
"With DeSantis event, Twitter solidifies its place in the conservative media world",https://www.nbcnews.com/tech/social-media/desantis-twitter-conservative-media-rcna86150,"May 24, 2023",Democratic strategists said the joint Musk-DeSantis event was the latest example of the billionaire aligning himself and Twitter with conservative politics.,2023-05-24
Man convicted of murder in California campground shootings that left father dead inside tent,https://www.nbcnews.com/news/us-news/man-convicted-murder-california-campground-shootings-left-father-dead-rcna86528,"May 26, 2023","A man accused of a string of shootings in and around a Southern California campground, including the killing of a pharmaceutical scientist as he slept with his two children inside a tent, was convicted Friday of second-degree murder and other crimes, his lawyer said.",2023-05-26
Elon Musk’s brain implant company Neuralink announces FDA approval of in-human clinical study,https://www.nbcnews.com/business/business-news/elon-musks-brain-implant-company-neuralink-announces-fda-approval-huma-rcna86384,"May 26, 2023","Neuralink, the neurotech startup co-founded by Elon Musk, announced Thursday it has received approval from the Food and Drug Administration to conduct its first in-human clinical study.",2023-05-26
Ford EVs will use Tesla charging tech in surprise partnership between rival automakers,https://www.nbcnews.com/tech/tech-news/ford-evs-will-use-tesla-charging-tech-surprise-partnership-rival-autom-rcna86423,"May 26, 2023","DETROIT — Ford Motor will partner with Tesla on charging initiatives for its current and future electric vehicles in an unusual tie-up between the two rivals, CEOs of the automakers announced Thursday.",2023-05-26
"Elon Musk meets Chinese foreign minister, who calls for ‘mutual respect’ in U.S. relations",https://www.nbcnews.com/news/world/elon-musk-china-foreign-minister-us-business-rcna86777,"May 30, 2023","China’s foreign minister met Tesla CEO Elon Musk on Tuesday and said strained U.S.-Chinese relations require “mutual respect,” while delivering a message of reassurance that foreign companies are welcome.",2023-05-30
